pos_x,pos_y,left_border_x,left_border_y,right_border_x,right_border_y,throttle,brake,target_speed,yaw
414.0029602050781,-206.9293975830078,413.7982377797194,-209.904978116124,414.6107779894867,-198.09494398663966,0.13095000386238098,0.0,27.066316604614258,-86.0642048075199
412.4525451660156,-206.82241821289062,412.2500054001668,-209.75775704164084,413.0649310417524,-197.9473213562568,0.13214001059532166,0.0,27.398136138916016,-86.05282047310072
410.90911865234375,-206.7150421142578,410.70776578783824,-209.60929282403893,411.5293710595633,-197.79951973394608,0.13333000242710114,0.0,27.72995376586914,-86.02034794425285
409.3783264160156,-206.60716247558594,409.1771626734165,-209.4616389939776,410.0094668068203,-197.65139638134187,0.1345200091600418,0.0,28.0617733001709,-85.96885482056061
407.8624267578125,-206.4984893798828,407.6605738260068,-209.3141705597722,408.5071954435203,-197.5045003528785,0.1357100009918213,0.0,28.393592834472656,-85.89954661332644
406.3603210449219,-206.3885498046875,406.1570273729841,-209.16615364270234,407.0212967234086,-197.35763131175295,0.13690000772476196,0.0,28.72541046142578,-85.81396838450334
404.8680419921875,-206.27679443359375,404.66264479096714,-209.01948087337345,405.54696329132923,-197.21110011171157,0.13809001445770264,0.0,29.05722999572754,-85.7171677313951
403.38079833984375,-206.16275024414062,403.1730709960444,-208.871710472323,404.07851513750575,-197.06386600082797,0.13928000628948212,0.0,29.389049530029297,-85.6150504004853
401.89385986328125,-206.04612731933594,401.6839261293097,-208.72277556060962,402.6099840917304,-196.9155668307959,0.1404700130224228,0.0,29.720869064331055,-85.51538253226197
400.40411376953125,-205.92678833007812,400.1921066104316,-208.57334030005822,401.1378585459472,-196.76722177707413,0.14166000485420227,0.0,30.05268669128418,-85.4199909927
398.90966796875,-205.80484008789062,398.6960134477025,-208.423123845572,399.6593187907978,-196.61805311199495,0.14285001158714294,0.0,30.384506225585938,-85.33494434187236
397.4101867675781,-205.680419921875,397.19517744256467,-208.2716593588473,398.1746204510502,-196.4676534177299,0.14285001158714294,0.0,30.3935489654541,-85.25672123677433
395.9063720703125,-205.55380249023438,395.6903312547365,-208.11968421333322,396.68407162217085,-196.31719106171556,0.14285001158714294,0.0,30.401321411132812,-85.18719044415766
394.399169921875,-205.42530822753906,394.1824833018588,-207.96698232547524,395.1885797605071,-196.16574924158482,0.14285001158714294,0.0,30.408275604248047,-85.12711693272217
392.8895263671875,-205.29519653320312,392.67246890598466,-207.81364346431164,393.68930027879765,-196.01568067545026,0.14285001158714294,0.0,30.417268753051758,-85.07401992708962
391.3782958984375,-205.16375732421875,391.161145441166,-207.66045819352075,392.1871415718498,-195.86400395821533,0.14285001158714294,0.0,30.421667098999023,-85.02921078929107
389.8660888671875,-205.03109741210938,389.6489207376432,-207.50662424789942,390.6834383953123,-195.71402729072943,0.14285001158714294,0.0,30.42854118347168,-84.98650376299061
388.3532409667969,-204.89749145507812,388.13625598645524,-207.35445729118476,389.1774304824858,-195.5650230080134,0.14285001158714294,0.0,30.435928344726562,-84.95306272637814
386.8399353027344,-204.7629852294922,386.6232107498209,-207.20131469741605,387.67077623787924,-195.41534137425367,0.14285001158714294,0.0,30.442108154296875,-84.92076152885068
